ID,Name,Category,Type,Destination,Area,Price,Rating,Description
438,Mountain Brew 319,Cafe,Food,Darjeeling,Mall Road,861 INR,4.4,Cafe in Darjeeling with great experience
439,Peak Residency 173,Hotel,Stay,Darjeeling,Tea Garden,1400 INR,3.5,Hotel in Darjeeling with great experience
440,Monastery 374,Attraction,Experience,Darjeeling,Tea Garden,,3.2,Attraction in Darjeeling with great experience
441,Lake 17,Attraction,Experience,Darjeeling,Tea Garden,,4.9,Attraction in Darjeeling with great experience
442,Forest Resort 240,Resort,Stay,Darjeeling,Mall Road,6380 INR,3.7,Resort in Darjeeling with great experience
443,Lake 416,Attraction,Experience,Darjeeling,Mall Road,,3.5,Attraction in Darjeeling with great experience
444,Himalayan Dine 664,Restaurant,Food,Darjeeling,Forest Area,264 INR,4.9,Restaurant in Darjeeling with great experience
445,Safari 183,Activity,Experience,Dooars,Hill View,,4.5,Activity in Dooars with great experience
446,Mountain Style 994,Clothing Store,Shopping,Gangtok,MG Marg,,4.2,Clothing Store in Gangtok with great experience
447,Mountain Style 578,Clothing Store,Shopping,Lava,Forest Area,,3.6,Clothing Store in Lava with great experience
448,Monastery 145,Attraction,Experience,Lava,City Center,,5.0,Attraction in Lava with great experience
449,Spice Route 613,Restaurant,Food,Kurseong,Hill View,976 INR,4.2,Restaurant in Kurseong with great experience
450,Skyline Hotel 97,Hotel,Stay,Darjeeling,Tea Garden,1067 INR,3.9,Hotel in Darjeeling with great experience
451,Skyline Hotel 717,Hotel,Stay,Dooars,Tea Garden,4952 INR,3.4,Hotel in Dooars with great experience
452,Forest Resort 948,Resort,Stay,Lava,City Center,5133 INR,5.0,Resort in Lava with great experience
453,Pahari Homestay 604,Homestay,Stay,Lava,Hill View,2499 INR,4.9,Homestay in Lava with great experience
454,Lake 91,Attraction,Experience,Darjeeling,Tea Garden,,3.9,Attraction in Darjeeling with great experience
455,Pahari Homestay 15,Homestay,Stay,Darjeeling,Mall Road,5589 INR,4.7,Homestay in Darjeeling with great experience
456,Forest Resort 321,Resort,Stay,Gangtok,MG Marg,1428 INR,4.4,Resort in Gangtok with great experience
457,Lake 326,Attraction,Experience,Darjeeling,City Center,,3.6,Attraction in Darjeeling with great experience
458,Mountain Nest 426,Homestay,Stay,Darjeeling,Tea Garden,4868 INR,3.9,Homestay in Darjeeling with great experience
459,Trekking 3,Activity,Experience,Darjeeling,Mall Road,,4.0,Activity in Darjeeling with great experience
460,Luxury Hills Resort 922,Resort,Stay,Gangtok,City Center,3942 INR,3.0,Resort in Gangtok with great experience
461,Hill Stay Inn 358,Hotel,Stay,Darjeeling,Tea Garden,7741 INR,4.2,Hotel in Darjeeling with great experience
462,Spice Route 212,Restaurant,Food,Dooars,Forest Area,515 INR,3.3,Restaurant in Dooars with great experience
463,Trekking 572,Activity,Experience,Kalimpong,Hill View,,3.4,Activity in Kalimpong with great experience
464,Himalayan Wear 799,Clothing Store,Shopping,Gangtok,MG Marg,,4.8,Clothing Store in Gangtok with great experience
465,Cloud9 Cafe 483,Cafe,Food,Darjeeling,Hill View,916 INR,3.9,Cafe in Darjeeling with great experience
466,Spice Route 981,Restaurant,Food,Gangtok,MG Marg,395 INR,4.8,Restaurant in Gangtok with great experience
467,Forest Resort 700,Resort,Stay,Gangtok,MG Marg,6113 INR,4.9,Resort in Gangtok with great experience
468,Waterfall 50,Attraction,Experience,Darjeeling,Mall Road,,3.9,Attraction in Darjeeling with great experience
469,Mountain Brew 840,Cafe,Food,Darjeeling,Hill View,295 INR,3.1,Cafe in Darjeeling with great experience
470,Mountain Nest 335,Homestay,Stay,Darjeeling,Mall Road,6063 INR,4.0,Homestay in Darjeeling with great experience
471,Mountain Nest 519,Homestay,Stay,Gangtok,MG Marg,3576 INR,4.6,Homestay in Gangtok with great experience
472,Taste of Hills 901,Restaurant,Food,Kalimpong,Forest Area,240 INR,4.5,Restaurant in Kalimpong with great experience
473,Luxury Hills Resort 229,Resort,Stay,Darjeeling,Mall Road,1176 INR,4.1,Resort in Darjeeling with great experience
474,Mountain Style 845,Clothing Store,Shopping,Darjeeling,Tea Garden,,4.0,Clothing Store in Darjeeling with great experience
475,Valley View Stay 414,Homestay,Stay,Dooars,Forest Area,1394 INR,4.7,Homestay in Dooars with great experience
476,Himalayan Wear 440,Clothing Store,Shopping,Dooars,Forest Area,,3.6,Clothing Store in Dooars with great experience
477,Peak Residency 538,Hotel,Stay,Gangtok,Hill View,5900 INR,4.5,Hotel in Gangtok with great experience
478,Sunrise Coffee 400,Cafe,Food,Darjeeling,Mall Road,786 INR,4.6,Cafe in Darjeeling with great experience
479,Luxury Hills Resort 386,Resort,Stay,Kalimpong,City Center,7297 INR,3.5,Resort in Kalimpong with great experience
480,Tea Garden Resort 243,Resort,Stay,Dooars,Tea Garden,2184 INR,3.3,Resort in Dooars with great experience
481,Hilltop Cafe 67,Cafe,Food,Darjeeling,Mall Road,576 INR,4.2,Cafe in Darjeeling with great experience
482,Forest Resort 704,Resort,Stay,Kalimpong,Mall Road,4953 INR,4.5,Resort in Kalimpong with great experience
483,Peak Residency 989,Hotel,Stay,Kalimpong,Hill View,3849 INR,3.9,Hotel in Kalimpong with great experience
484,Trekking 79,Activity,Experience,Kurseong,Mall Road,,3.8,Activity in Kurseong with great experience
485,Peak Residency 820,Hotel,Stay,Kurseong,Tea Garden,3951 INR,3.1,Hotel in Kurseong with great experience
486,Boating 752,Activity,Experience,Mirik,Tea Garden,,5.0,Activity in Mirik with great experience
487,Himalayan Dine 942,Restaurant,Food,Lava,Forest Area,634 INR,4.7,Restaurant in Lava with great experience
488,Hill Stay Inn 97,Hotel,Stay,Gangtok,MG Marg,6781 INR,4.5,Hotel in Gangtok with great experience
489,Safari 184,Activity,Experience,Dooars,City Center,,3.7,Activity in Dooars with great experience
490,Mountain Style 288,Clothing Store,Shopping,Dooars,Forest Area,,4.0,Clothing Store in Dooars with great experience
491,Peak Residency 89,Hotel,Stay,Darjeeling,Forest Area,5728 INR,4.7,Hotel in Darjeeling with great experience
492,Cafe Aroma 119,Cafe,Food,Kurseong,Forest Area,414 INR,4.6,Cafe in Kurseong with great experience
493,Mountain Style 787,Clothing Store,Shopping,Gangtok,MG Marg,,4.5,Clothing Store in Gangtok with great experience
494,Himalayan Wear 581,Clothing Store,Shopping,Kurseong,Tea Garden,,4.6,Clothing Store in Kurseong with great experience
495,Valley View Stay 679,Homestay,Stay,Darjeeling,Hill View,1621 INR,4.4,Homestay in Darjeeling with great experience
496,Himalayan Dine 852,Restaurant,Food,Darjeeling,Tea Garden,524 INR,3.1,Restaurant in Darjeeling with great experience
497,Mountain Nest 806,Homestay,Stay,Kurseong,Hill View,2365 INR,3.9,Homestay in Kurseong with great experience
498,Pahari Homestay 387,Homestay,Stay,Dooars,City Center,4441 INR,3.1,Homestay in Dooars with great experience
499,View Point 78,Attraction,Experience,Darjeeling,Mall Road,,3.1,Attraction in Darjeeling with great experience
500,Himalayan Wear 348,Clothing Store,Shopping,Kurseong,Tea Garden,,4.9,Clothing Store in Kurseong with great experience
501,Mountain Nest 955,Homestay,Stay,Darjeeling,Mall Road,4823 INR,4.1,Homestay in Darjeeling with great experience
502,Monastery 798,Attraction,Experience,Darjeeling,Forest Area,,4.3,Attraction in Darjeeling with great experience
503,Winter Hub 149,Clothing Store,Shopping,Darjeeling,Mall Road,,3.7,Clothing Store in Darjeeling with great experience
504,Safari 786,Activity,Experience,Dooars,Mall Road,,4.1,Activity in Dooars with great experience
505,Peak Residency 185,Hotel,Stay,Kurseong,Hill View,4169 INR,4.4,Hotel in Kurseong with great experience
506,Himalayan Wear 970,Clothing Store,Shopping,Gangtok,MG Marg,,4.5,Clothing Store in Gangtok with great experience
507,Tea Garden Resort 342,Resort,Stay,Mirik,Tea Garden,3835 INR,3.3,Resort in Mirik with great experience
508,Pahari Homestay 983,Homestay,Stay,Darjeeling,Mall Road,1886 INR,4.1,Homestay in Darjeeling with great experience
509,Food Valley 54,Restaurant,Food,Darjeeling,Hill View,749 INR,5.0,Restaurant in Darjeeling with great experience
510,Tea Garden Resort 460,Resort,Stay,Gangtok,MG Marg,4767 INR,4.1,Resort in Gangtok with great experience
511,Monastery 487,Attraction,Experience,Kalimpong,Mall Road,,4.9,Attraction in Kalimpong with great experience
512,Waterfall 620,Attraction,Experience,Gangtok,City Center,,4.2,Attraction in Gangtok with great experience
513,Winter Hub 639,Clothing Store,Shopping,Kalimpong,Forest Area,,4.8,Clothing Store in Kalimpong with great experience
514,Hotel Green View 459,Hotel,Stay,Dooars,City Center,5272 INR,4.7,Hotel in Dooars with great experience
515,Himalayan Dine 837,Restaurant,Food,Gangtok,MG Marg,138 INR,3.3,Restaurant in Gangtok with great experience
516,Boating 325,Activity,Experience,Mirik,Mall Road,,3.0,Activity in Mirik with great experience
517,Toy Train Ride 185,Activity,Experience,Darjeeling,Hill View,,3.3,Activity in Darjeeling with great experience
518,Trekking 47,Activity,Experience,Darjeeling,Tea Garden,,4.8,Activity in Darjeeling with great experience
519,Skyline Hotel 852,Hotel,Stay,Darjeeling,Tea Garden,2894 INR,4.6,Hotel in Darjeeling with great experience
520,Waterfall 396,Attraction,Experience,Kalimpong,Mall Road,,4.7,Attraction in Kalimpong with great experience
521,Mountain Nest 566,Homestay,Stay,Kalimpong,Mall Road,2487 INR,3.0,Homestay in Kalimpong with great experience
522,Valley View Stay 406,Homestay,Stay,Gangtok,MG Marg,2395 INR,3.7,Homestay in Gangtok with great experience
523,Peak Residency 563,Hotel,Stay,Darjeeling,Hill View,2706 INR,4.2,Hotel in Darjeeling with great experience
524,Hilltop Cafe 573,Cafe,Food,Kalimpong,Forest Area,484 INR,4.7,Cafe in Kalimpong with great experience
525,Winter Hub 358,Clothing Store,Shopping,Gangtok,MG Marg,,3.6,Clothing Store in Gangtok with great experience
526,Himalayan Wear 259,Clothing Store,Shopping,Gangtok,Hill View,,4.5,Clothing Store in Gangtok with great experience
527,Mountain Nest 371,Homestay,Stay,Darjeeling,Tea Garden,1283 INR,3.7,Homestay in Darjeeling with great experience
528,Luxury Hills Resort 536,Resort,Stay,Kalimpong,Mall Road,2386 INR,4.8,Resort in Kalimpong with great experience
529,Mountain Brew 354,Cafe,Food,Darjeeling,Mall Road,688 INR,3.5,Cafe in Darjeeling with great experience
530,Tea Garden Resort 373,Resort,Stay,Darjeeling,Hill View,4549 INR,3.6,Resort in Darjeeling with great experience
531,Forest Resort 42,Resort,Stay,Lava,Forest Area,7365 INR,3.8,Resort in Lava with great experience
532,Tea Garden Resort 770,Resort,Stay,Kurseong,Forest Area,2613 INR,4.3,Resort in Kurseong with great experience
533,Boating 937,Activity,Experience,Mirik,Tea Garden,,4.3,Activity in Mirik with great experience
534,Pahari Homestay 914,Homestay,Stay,Mirik,City Center,7261 INR,3.0,Homestay in Mirik with great experience
535,Food Valley 678,Restaurant,Food,Dooars,Tea Garden,919 INR,3.6,Restaurant in Dooars with great experience
536,Forest Resort 520,Resort,Stay,Dooars,City Center,2056 INR,4.0,Resort in Dooars with great experience
537,Peak Residency 267,Hotel,Stay,Gangtok,MG Marg,7100 INR,3.8,Hotel in Gangtok with great experience
538,Mountain Nest 272,Homestay,Stay,Lava,City Center,1006 INR,4.0,Homestay in Lava with great experience
539,Pahari Homestay 473,Homestay,Stay,Gangtok,Mall Road,829 INR,4.8,Homestay in Gangtok with great experience
540,Forest Resort 683,Resort,Stay,Gangtok,MG Marg,5854 INR,3.2,Resort in Gangtok with great experience
541,Luxury Hills Resort 491,Resort,Stay,Kurseong,Tea Garden,7862 INR,4.5,Resort in Kurseong with great experience
542,Tea Garden Resort 692,Resort,Stay,Kurseong,Forest Area,3087 INR,3.5,Resort in Kurseong with great experience
543,Mountain Style 619,Clothing Store,Shopping,Gangtok,MG Marg,,3.3,Clothing Store in Gangtok with great experience
544,Trekking 304,Activity,Experience,Darjeeling,Hill View,,3.5,Activity in Darjeeling with great experience
545,Himalayan Wear 811,Clothing Store,Shopping,Dooars,Tea Garden,,4.4,Clothing Store in Dooars with great experience
546,View Point 267,Attraction,Experience,Gangtok,City Center,,4.1,Attraction in Gangtok with great experience
547,Spice Route 485,Restaurant,Food,Kurseong,Forest Area,713 INR,4.5,Restaurant in Kurseong with great experience
548,Toy Train Ride 435,Activity,Experience,Darjeeling,City Center,,4.2,Activity in Darjeeling with great experience
549,Tea Garden Resort 977,Resort,Stay,Darjeeling,Tea Garden,7600 INR,4.7,Resort in Darjeeling with great experience
550,Valley View Stay 675,Homestay,Stay,Darjeeling,City Center,1623 INR,3.2,Homestay in Darjeeling with great experience
551,Food Valley 240,Restaurant,Food,Mirik,Hill View,290 INR,4.7,Restaurant in Mirik with great experience
552,Lake 219,Attraction,Experience,Dooars,City Center,,3.5,Attraction in Dooars with great experience
553,Trekking 645,Activity,Experience,Darjeeling,Mall Road,,3.2,Activity in Darjeeling with great experience
554,Himalayan Wear 313,Clothing Store,Shopping,Gangtok,MG Marg,,3.4,Clothing Store in Gangtok with great experience
555,Skyline Hotel 515,Hotel,Stay,Mirik,Tea Garden,4849 INR,4.8,Hotel in Mirik with great experience
556,Toy Train Ride 175,Activity,Experience,Darjeeling,Mall Road,,3.8,Activity in Darjeeling with great experience
557,Mountain Brew 644,Cafe,Food,Gangtok,MG Marg,385 INR,3.0,Cafe in Gangtok with great experience
558,View Point 343,Attraction,Experience,Kurseong,Hill View,,3.7,Attraction in Kurseong with great experience
559,Cloud9 Cafe 311,Cafe,Food,Darjeeling,Mall Road,182 INR,4.9,Cafe in Darjeeling with great experience
560,Himalayan Wear 531,Clothing Store,Shopping,Darjeeling,Mall Road,,3.5,Clothing Store in Darjeeling with great experience
561,Forest Resort 243,Resort,Stay,Gangtok,Mall Road,6413 INR,4.3,Resort in Gangtok with great experience
562,Mountain Nest 978,Homestay,Stay,Kurseong,Forest Area,7162 INR,4.9,Homestay in Kurseong with great experience
563,Monastery 648,Attraction,Experience,Darjeeling,Tea Garden,,3.9,Attraction in Darjeeling with great experience
564,Monastery 44,Attraction,Experience,Darjeeling,Tea Garden,,4.1,Attraction in Darjeeling with great experience
565,Valley View Stay 25,Homestay,Stay,Dooars,City Center,2438 INR,4.1,Homestay in Dooars with great experience
566,Hotel Green View 897,Hotel,Stay,Lava,Hill View,6695 INR,3.6,Hotel in Lava with great experience
567,Peak Residency 673,Hotel,Stay,Gangtok,MG Marg,1752 INR,3.6,Hotel in Gangtok with great experience
568,Safari 372,Activity,Experience,Dooars,City Center,,4.3,Activity in Dooars with great experience
569,Forest Resort 576,Resort,Stay,Kurseong,Forest Area,7922 INR,3.5,Resort in Kurseong with great experience
570,Peak Residency 356,Hotel,Stay,Kalimpong,City Center,2708 INR,3.1,Hotel in Kalimpong with great experience
571,Mountain Brew 904,Cafe,Food,Mirik,Tea Garden,763 INR,3.3,Cafe in Mirik with great experience
572,Mountain Nest 643,Homestay,Stay,Gangtok,MG Marg,6881 INR,3.4,Homestay in Gangtok with great experience
573,Tea Garden Resort 881,Resort,Stay,Lava,City Center,6698 INR,4.7,Resort in Lava with great experience
574,Skyline Hotel 660,Hotel,Stay,Mirik,City Center,2163 INR,3.3,Hotel in Mirik with great experience
575,Peak Residency 883,Hotel,Stay,Kalimpong,Hill View,3940 INR,3.1,Hotel in Kalimpong with great experience
576,Safari 309,Activity,Experience,Dooars,Mall Road,,3.5,Activity in Dooars with great experience
577,Skyline Hotel 558,Hotel,Stay,Lava,Forest Area,5053 INR,3.9,Hotel in Lava with great experience
578,Sunrise Coffee 852,Cafe,Food,Kurseong,Forest Area,874 INR,3.7,Cafe in Kurseong with great experience
579,Himalayan Wear 587,Clothing Store,Shopping,Darjeeling,Forest Area,,3.2,Clothing Store in Darjeeling with great experience
580,Safari 574,Activity,Experience,Dooars,Mall Road,,4.9,Activity in Dooars with great experience
581,Hotel Green View 418,Hotel,Stay,Kurseong,City Center,1587 INR,4.6,Hotel in Kurseong with great experience
582,Tea Garden Resort 856,Resort,Stay,Dooars,Forest Area,1019 INR,4.7,Resort in Dooars with great experience
583,Hilltop Cafe 932,Cafe,Food,Kalimpong,Mall Road,268 INR,4.4,Cafe in Kalimpong with great experience
584,Winter Hub 452,Clothing Store,Shopping,Dooars,Tea Garden,,4.4,Clothing Store in Dooars with great experience
585,Food Valley 88,Restaurant,Food,Darjeeling,Mall Road,474 INR,3.0,Restaurant in Darjeeling with great experience
586,Valley View Stay 497,Homestay,Stay,Darjeeling,Forest Area,7535 INR,3.9,Homestay in Darjeeling with great experience
587,Waterfall 877,Attraction,Experience,Lava,Forest Area,,4.3,Attraction in Lava with great experience
588,Mountain Nest 230,Homestay,Stay,Darjeeling,Hill View,6180 INR,4.5,Homestay in Darjeeling with great experience
589,Monastery 632,Attraction,Experience,Gangtok,MG Marg,,3.6,Attraction in Gangtok with great experience
590,Hotel Green View 22,Hotel,Stay,Gangtok,City Center,4424 INR,4.2,Hotel in Gangtok with great experience
591,Spice Route 974,Restaurant,Food,Dooars,City Center,401 INR,3.4,Restaurant in Dooars with great experience
592,Lake 501,Attraction,Experience,Lava,Forest Area,,3.4,Attraction in Lava with great experience
593,Luxury Hills Resort 924,Resort,Stay,Dooars,Forest Area,1441 INR,4.9,Resort in Dooars with great experience
594,Forest Resort 192,Resort,Stay,Mirik,Tea Garden,4049 INR,4.8,Resort in Mirik with great experience
595,Boating 481,Activity,Experience,Mirik,Tea Garden,,4.9,Activity in Mirik with great experience
596,Boating 527,Activity,Experience,Mirik,City Center,,4.4,Activity in Mirik with great experience
597,Boating 706,Activity,Experience,Mirik,Tea Garden,,4.1,Activity in Mirik with great experience
598,Waterfall 447,Attraction,Experience,Mirik,Tea Garden,,3.1,Attraction in Mirik with great experience
599,Mountain Brew 721,Cafe,Food,Gangtok,Hill View,204 INR,4.4,Cafe in Gangtok with great experience
600,Sunrise Coffee 305,Cafe,Food,Gangtok,MG Marg,143 INR,4.5,Cafe in Gangtok with great experience
601,Spice Route 918,Restaurant,Food,Darjeeling,Tea Garden,330 INR,3.5,Restaurant in Darjeeling with great experience
602,Hilltop Cafe 71,Cafe,Food,Darjeeling,City Center,264 INR,4.9,Cafe in Darjeeling with great experience
603,Mountain Nest 678,Homestay,Stay,Gangtok,City Center,1853 INR,4.1,Homestay in Gangtok with great experience
604,Sunrise Coffee 114,Cafe,Food,Kurseong,Tea Garden,885 INR,4.0,Cafe in Kurseong with great experience
605,Cloud9 Cafe 749,Cafe,Food,Darjeeling,Forest Area,485 INR,3.1,Cafe in Darjeeling with great experience
606,Forest Resort 368,Resort,Stay,Darjeeling,Mall Road,1118 INR,4.2,Resort in Darjeeling with great experience
607,Mountain Brew 587,Cafe,Food,Kurseong,Tea Garden,329 INR,3.0,Cafe in Kurseong with great experience
608,Food Valley 744,Restaurant,Food,Dooars,Forest Area,310 INR,4.7,Restaurant in Dooars with great experience
609,Hill Stay Inn 313,Hotel,Stay,Darjeeling,Tea Garden,3014 INR,3.9,Hotel in Darjeeling with great experience
610,Lake 863,Attraction,Experience,Darjeeling,Mall Road,,4.3,Attraction in Darjeeling with great experience
611,Mountain Nest 652,Homestay,Stay,Gangtok,MG Marg,2924 INR,3.2,Homestay in Gangtok with great experience
612,Mountain Style 43,Clothing Store,Shopping,Gangtok,MG Marg,,4.5,Clothing Store in Gangtok with great experience
613,Tea Garden Resort 910,Resort,Stay,Dooars,Tea Garden,1715 INR,4.8,Resort in Dooars with great experience
614,Waterfall 132,Attraction,Experience,Darjeeling,City Center,,3.7,Attraction in Darjeeling with great experience
615,Himalayan Wear 144,Clothing Store,Shopping,Darjeeling,Hill View,,4.7,Clothing Store in Darjeeling with great experience
616,Skyline Hotel 956,Hotel,Stay,Darjeeling,Hill View,7362 INR,3.7,Hotel in Darjeeling with great experience
617,Food Valley 55,Restaurant,Food,Gangtok,MG Marg,865 INR,4.3,Restaurant in Gangtok with great experience
618,Hotel Green View 39,Hotel,Stay,Kalimpong,Hill View,2999 INR,4.5,Hotel in Kalimpong with great experience
619,Mountain Style 173,Clothing Store,Shopping,Darjeeling,Mall Road,,3.7,Clothing Store in Darjeeling with great experience
620,Himalayan Wear 297,Clothing Store,Shopping,Mirik,Tea Garden,,4.2,Clothing Store in Mirik with great experience
621,Hilltop Cafe 594,Cafe,Food,Gangtok,MG Marg,128 INR,3.7,Cafe in Gangtok with great experience
622,Tea Garden Resort 569,Resort,Stay,Dooars,Tea Garden,5536 INR,4.9,Resort in Dooars with great experience
623,Cloud9 Cafe 527,Cafe,Food,Mirik,Hill View,181 INR,4.2,Cafe in Mirik with great experience
624,Himalayan Wear 654,Clothing Store,Shopping,Kalimpong,City Center,,4.6,Clothing Store in Kalimpong with great experience
625,Spice Route 477,Restaurant,Food,Darjeeling,City Center,377 INR,3.0,Restaurant in Darjeeling with great experience
626,Hill Stay Inn 404,Hotel,Stay,Gangtok,Mall Road,2317 INR,4.3,Hotel in Gangtok with great experience
627,Lake 125,Attraction,Experience,Dooars,Forest Area,,4.3,Attraction in Dooars with great experience
628,Cafe Aroma 707,Cafe,Food,Dooars,Forest Area,445 INR,4.0,Cafe in Dooars with great experience
629,Winter Hub 721,Clothing Store,Shopping,Darjeeling,Mall Road,,5.0,Clothing Store in Darjeeling with great experience
630,Himalayan Wear 77,Clothing Store,Shopping,Dooars,Forest Area,,3.0,Clothing Store in Dooars with great experience
631,Trekking 870,Activity,Experience,Dooars,Forest Area,,3.7,Activity in Dooars with great experience
632,Trekking 820,Activity,Experience,Darjeeling,Mall Road,,4.1,Activity in Darjeeling with great experience
633,Food Valley 422,Restaurant,Food,Kalimpong,City Center,103 INR,4.8,Restaurant in Kalimpong with great experience
634,View Point 588,Attraction,Experience,Gangtok,MG Marg,,4.0,Attraction in Gangtok with great experience
635,Pahari Homestay 942,Homestay,Stay,Dooars,City Center,1712 INR,3.5,Homestay in Dooars with great experience
636,Mountain Nest 432,Homestay,Stay,Dooars,Tea Garden,1239 INR,3.4,Homestay in Dooars with great experience
637,Food Valley 927,Restaurant,Food,Lava,Forest Area,772 INR,3.7,Restaurant in Lava with great experience
638,Forest Resort 958,Resort,Stay,Darjeeling,Hill View,5802 INR,5.0,Resort in Darjeeling with great experience
639,Mountain Brew 47,Cafe,Food,Darjeeling,Mall Road,392 INR,4.9,Cafe in Darjeeling with great experience
640,Mountain Style 455,Clothing Store,Shopping,Kurseong,Hill View,,3.3,Clothing Store in Kurseong with great experience
641,Himalayan Wear 866,Clothing Store,Shopping,Dooars,City Center,,4.2,Clothing Store in Dooars with great experience
642,View Point 732,Attraction,Experience,Darjeeling,Tea Garden,,3.9,Attraction in Darjeeling with great experience
643,Valley View Stay 25,Homestay,Stay,Kalimpong,City Center,3240 INR,4.9,Homestay in Kalimpong with great experience
644,Cloud9 Cafe 153,Cafe,Food,Gangtok,Mall Road,883 INR,3.4,Cafe in Gangtok with great experience
645,Food Valley 314,Restaurant,Food,Kurseong,Mall Road,908 INR,4.7,Restaurant in Kurseong with great experience
646,Boating 306,Activity,Experience,Mirik,Hill View,,3.2,Activity in Mirik with great experience
647,Peak Residency 698,Hotel,Stay,Gangtok,City Center,4575 INR,4.9,Hotel in Gangtok with great experience
648,Waterfall 897,Attraction,Experience,Kurseong,Mall Road,,3.5,Attraction in Kurseong with great experience
649,Himalayan Wear 834,Clothing Store,Shopping,Darjeeling,Mall Road,,3.6,Clothing Store in Darjeeling with great experience
650,Hilltop Cafe 969,Cafe,Food,Gangtok,MG Marg,375 INR,3.3,Cafe in Gangtok with great experience
651,Winter Hub 478,Clothing Store,Shopping,Dooars,City Center,,3.6,Clothing Store in Dooars with great experience
652,Mountain Nest 435,Homestay,Stay,Lava,Hill View,5124 INR,3.7,Homestay in Lava with great experience
653,Luxury Hills Resort 705,Resort,Stay,Gangtok,MG Marg,2036 INR,4.2,Resort in Gangtok with great experience
654,Monastery 51,Attraction,Experience,Gangtok,Mall Road,,3.6,Attraction in Gangtok with great experience
655,Trekking 781,Activity,Experience,Darjeeling,Mall Road,,3.3,Activity in Darjeeling with great experience
656,Cloud9 Cafe 381,Cafe,Food,Kalimpong,Forest Area,952 INR,4.1,Cafe in Kalimpong with great experience
657,Mountain Style 192,Clothing Store,Shopping,Darjeeling,Hill View,,3.5,Clothing Store in Darjeeling with great experience
658,Valley View Stay 647,Homestay,Stay,Kurseong,Tea Garden,1417 INR,3.8,Homestay in Kurseong with great experience
659,Hill Stay Inn 331,Hotel,Stay,Darjeeling,Tea Garden,5276 INR,4.2,Hotel in Darjeeling with great experience
660,Luxury Hills Resort 43,Resort,Stay,Darjeeling,Tea Garden,3400 INR,4.6,Resort in Darjeeling with great experience
661,Safari 226,Activity,Experience,Dooars,Tea Garden,,4.5,Activity in Dooars with great experience
662,Forest Resort 359,Resort,Stay,Dooars,Forest Area,7699 INR,4.6,Resort in Dooars with great experience
663,Spice Route 473,Restaurant,Food,Darjeeling,Mall Road,154 INR,3.9,Restaurant in Darjeeling with great experience
664,Tea Garden Resort 611,Resort,Stay,Kalimpong,Forest Area,2257 INR,4.7,Resort in Kalimpong with great experience
665,Waterfall 775,Attraction,Experience,Gangtok,MG Marg,,4.5,Attraction in Gangtok with great experience
666,Boating 607,Activity,Experience,Mirik,Hill View,,3.4,Activity in Mirik with great experience
667,Monastery 150,Attraction,Experience,Kurseong,Tea Garden,,3.4,Attraction in Kurseong with great experience
668,Toy Train Ride 486,Activity,Experience,Darjeeling,Hill View,,3.2,Activity in Darjeeling with great experience
669,Himalayan Dine 548,Restaurant,Food,Gangtok,MG Marg,359 INR,5.0,Restaurant in Gangtok with great experience
670,Cloud9 Cafe 49,Cafe,Food,Darjeeling,Mall Road,941 INR,4.9,Cafe in Darjeeling with great experience
671,Taste of Hills 44,Restaurant,Food,Kurseong,Hill View,611 INR,3.2,Restaurant in Kurseong with great experience
672,Lake 338,Attraction,Experience,Dooars,Forest Area,,3.3,Attraction in Dooars with great experience
673,View Point 125,Attraction,Experience,Kalimpong,City Center,,3.1,Attraction in Kalimpong with great experience
674,Food Valley 946,Restaurant,Food,Lava,Hill View,882 INR,3.5,Restaurant in Lava with great experience
675,Tea Garden Resort 807,Resort,Stay,Kurseong,City Center,2553 INR,4.3,Resort in Kurseong with great experience
676,Trekking 899,Activity,Experience,Mirik,City Center,,3.6,Activity in Mirik with great experience
677,Cloud9 Cafe 383,Cafe,Food,Mirik,City Center,721 INR,3.8,Cafe in Mirik with great experience
678,Skyline Hotel 382,Hotel,Stay,Gangtok,Mall Road,3128 INR,3.2,Hotel in Gangtok with great experience
679,Sunrise Coffee 770,Cafe,Food,Dooars,Forest Area,634 INR,3.7,Cafe in Dooars with great experience
680,Himalayan Wear 38,Clothing Store,Shopping,Kurseong,City Center,,4.1,Clothing Store in Kurseong with great experience
681,Monastery 129,Attraction,Experience,Darjeeling,Tea Garden,,4.2,Attraction in Darjeeling with great experience
682,Himalayan Wear 427,Clothing Store,Shopping,Darjeeling,Tea Garden,,4.6,Clothing Store in Darjeeling with great experience
683,Cloud9 Cafe 474,Cafe,Food,Darjeeling,Mall Road,205 INR,4.9,Cafe in Darjeeling with great experience
684,Spice Route 805,Restaurant,Food,Kalimpong,Mall Road,981 INR,3.4,Restaurant in Kalimpong with great experience
685,Mountain Nest 702,Homestay,Stay,Dooars,Forest Area,2143 INR,5.0,Homestay in Dooars with great experience
686,View Point 797,Attraction,Experience,Darjeeling,Tea Garden,,3.4,Attraction in Darjeeling with great experience
687,Hotel Green View 690,Hotel,Stay,Darjeeling,Mall Road,7116 INR,3.1,Hotel in Darjeeling with great experience
688,Hilltop Cafe 661,Cafe,Food,Darjeeling,Forest Area,603 INR,3.1,Cafe in Darjeeling with great experience
689,Boating 943,Activity,Experience,Mirik,Tea Garden,,3.8,Activity in Mirik with great experience
